,year,month,author_name,paper_title,process,CW Performance,frequency,Psat (dBm),PAEmax (%),PA Efficieny Note,P1dB (dBm),PAE_1dB (%),Gain (dB),RF PA Modulations,EVM (dB),Modulation Speed (Msym/s),Average Pout (dBm),Average PAE (%),RF PA Note (Modulation Type),PA_type,node
1021,2021,8,Mayeda,A Highly Efficient 18 -40 GHz Linear Power Amplifier in 40 nm GaN for mm-Wave 5G,GaN,18 - 20 GHz,24.0,20.1,28.9,PAE,14.9,,9.6,9x100MHz 256QAM 5G NR,,,11.9,10.2,ACLR = -27,Analog,40nm GaN
1022,2021,8,Mayeda,A Highly Efficient 18–40 GHz Linear Power Amplifier in 40-nm GaN for mm-Wave 5G,GaN,19 -40.3,24.0,20.1,28.9,PAE,14.9,,9.6,256 QAM,-27,900,11.9,10.2,,,40nm GaN
1023,2020,8,Longhi,C to V-band Cascode Distributed Amplifier Design Leveraging a Double Gate Length Gallium Nitride on Silicon Process,GaN,6.0-52.0,25.0,28,20,PAE,,,8,,,,,,,,GaN
1024,2011,6,Takagi,GaN HEMTs with pre-match for Ka-Band with 18W,GaN,,26.0,43,18.5,PAE,,,6.7,,,,,,,,
1025,2017,1,Reece,K-band GaN Power Amplifier Design With a Harmonic Suppression Power Combiner,GaN,,26.0,33.8,42,PAE,,,9.5,,,,,,,,
1026,2018,3,Samis,A 5 W AlGaN/GaN Power Amplifier MMIC for 25-27 GHz Downlink Applications,GaN,,26.0,37.2,32,PAE,,,15,,,,,,,,
1027,2018,5,Guo,A 26 GHz Doherty power amplifier and a fully integrated 2x2 PA in 0.15um GaN HEMT process for heterogeneous integration and 5G,GaN,,26.0,32,21.7,PAE,22,15,18,,,,,,,,0.15um GaN HEMT
1028,2020,11,Yamaguchi,A Wideband and High Efficiency Ka-band GaN Doherty Power Amplifier for 5G Communications,GaN,26-30,26.0,35,30,PAE,,,17,,,,,,,,GaN HEMT
1029,2021,6,Bao,A 24–28-GHz Doherty Power Amplifier With 4-W Output Power and 32% PAE at 6-dB OPBO in 150-nm GaN Technology,GaN,24-28,26.0,22.5,32,PAE,,,18,,,,,,,,GaN HEMT
1030,2022,4,Nakatani,A Ka-Band 40 W Output Power and 30 % PAE GaN MMIC Power Amplifier for Satellite Communication,GaN,26-31 GHz,26.0,46.2,30.2,PAE,44,27,25,,,,,,,,150nm GaN-on-SiC
1031,2006,11,Boutros,5W GaN MMIC for Millimeter-Wave Applications,GaN,,26.5,37,20,PAE,,,13,,,,,,,,
1032,2017,10,Yamaguchi,A CW 20W Ka-band GaN High Power MMIC Amplifier with a Gate Pitch Designed by Using One-Finger Large Signal Models,GaN,,26.5,43.4,19.8,PAE,,,11.5,,,,,,,,
1033,2018,5,Kim,Ka-Band MMIC Using AlGaN/GaN-on-Si With Recessed High-kDual MIS Structure,GaN,,26.5,29,14.5,PAE,23,10,17,,,,,,,,0.15um GaN HEMT
1034,2005,10,Heijningen,Ka-Band AlGaN/GaN HEMT High Power and Driver Amplifier MMICs,GaN,,27.0,34.1,7,PAE,,,10.7,,,,,,,,
1035,2006,9,Heijningen,Design and Analysis of a 34 dBm Ka-Band GaN High Power Amplifier MMIC,GaN,,27.0,34.1,6,PAE,,,10,,,,,,,,
1036,2015,5,Din,High Power and High Efficiency Ka Band Power Amplifier,GaN,,27.0,46.3,36,PAE,,,,,,,,,,,
1037,2018,11,Hangai,Microwave and Millimeter-Wave GaN Amplifiers for Satellite Communications,GaN,,27.0,35.6,25.5,PAE,,,,,,,,,,,
1038,2021,6,Bao,A 24–28-GHz Doherty Power Amplifier With 4-W Output Power and 32% PAE at 6-dB OPBO in 150-nm GaN Technology,GaN,24-28 GHz,27.5,36,43,PAE,32,33,19,,,,,,,,150nm GaN-on-SiC
1039,2018,11,Yasui,18GHz-/28GHz-Band Gain-Boosted Feedback Power Amplifiers Using Affordable GaN HEMT MMIC Process,GaN,,27.7,25,11.2,PAE,,,8.7,,,,,,,,0.25um
1040,2005,10,Micovic,GaN MMIC Technology for Microwave and Millimeter-wave Applications,GaN,,28.0,36,23.8,PAE,,,15,,,,,,,,
1041,2015,6,Noh,Ka-band GaN Power Amplifier MMIC Chipset for Satellite and 5G Cellular Communications,GaN,,28.0,39,26.6,PAE,,,23.5,,,,,,,,150nm AlGaN/GaN HEMT
1042,2018,11,Giofrè,A GaN-on-Si MMIC Doherty Power Amplifier for 5G Applications,GaN,,28.0,33,36.2,PAE,,,13.7,,,,,,,,100nm
1043,2018,10,Roberg,40 W Ka-Band Single and Dual Output GaN MMIC Power Amplifiers on SiC,GaN,,28.0,46.2,25.9,PAE,,,30,,,,,,,,150nm
1044,2018,9,Ayad,Mixed Technologies Packaged High Power Frond-End for Broadband 28GHz 5G Solutions,GaN,,28.0,33.5,24,PAE,,,36,,,,,,,,0.15um
1045,2018,11,Neininger,Investigation of High-Efficiency Hybrid Power Combining for Ka-Band Frequencies,GaN,,28.0,36.33,22,PAE,,,,,,,,,,,
1046,2021,1,Estrada,Power Amplifiers With Frequency-Selective Matching Networks,GaN,27-29,28.0,23,30,PAE,21,18,8,,,,,,,,GaN
1047,2020,4,Mihaljevic,Design of a 28 GHz Power Amplifier in 0.15um GaN Technology,GaN,26.7-29.6,28.0,33,31,PAE,31,20,22.4,,,,,,,,0.15um GaN
1048,2021,5,Neininger,"Limitations and Implementation Strategies of Interstage Matching in a 6-W, 28–38-GHz GaN Power Amplifier MMIC",GaN,28-38,28.0,37.78,25,PAE,,,20,,,,,,,,GaN HEMT
1049,2020,11,Yamaguchi,A Wideband and High Efficiency Ka-band GaN Doherty Power Amplifier for 5G Communications,GaN,26-30,28.0,36,28.5,PAE,,,14,,,,,,,,GaN HEMT
1050,2021,6,Bao,A 24–28-GHz Doherty Power Amplifier With 4-W Output Power and 32% PAE at 6-dB OPBO in 150-nm GaN Technology,GaN,24-28,28.0,22.5,35,PAE,,,20,,,,,,,,GaN HEMT
1051,2021,6,Mayeda,A Highly Efficient 18 - 40 GHz Linear Power Amplifier in 40 nm GaN for mm-Wave 5G,GaN,18-40,28.0,22.8,23.2,PAE,18.3,,12,256 QAM 5G NR (9x100MHz 24GHz),,,14.2,14,257 QAM 5G NR,,GaN HEMT
1052,2021,8,Mayeda,A Highly Efficient 18 -40 GHz Linear Power Amplifier in 40 nm GaN for mm-Wave 5G,GaN,18 - 20 GHz,28.0,18.6,42.1,PAE,13.2,,9.2,9x100MHz 256QAM 5G NR,,,11.3,13.9,ACLR = -27,Analog,40nm GaN
1053,2021,8,Mayeda,A Highly Efficient 18 -40 GHz Linear Power Amplifier in 40 nm GaN for mm-Wave 5G,GaN,18 - 20 GHz,28.0,20.3,34.6,PAE,14.4,,11.9,9x100MHz 256QAM 5G NR,,,14.2,14,ACLR = -26.8,Analog,40nm GaN
1054,2021,8,Mayeda,A Highly Efficient 18–40 GHz Linear Power Amplifier in 40-nm GaN for mm-Wave 5G,GaN,19 -40.3,28.0,20.3,34.6,PAE,14.4,,11.9,256 QAM,-26.8,900,14.2,14,,,40nm GaN
1055,2022,6,Karnaty,Reconfigurable Millimeter-wave Power Amplifiers in GaN and SOI using Passive Load Modulation,GaN,,28.0,28,22,PAE,26,,8,,,,,,,,0.15um GaN
1056,2012,6,Campbell,High efficiency Ka-band power amplifier MMICs fabricated with a 0.15µm GaN on SiC HEMT process,GaN,,28.5,39.4,26,PAE,,,24,,,,,,,,
1057,2018,8,Nakatani,A Ka-Band High Efficiency Doherty Power Amplifier MMIC using GaN HEMT for 5G Application,GaN,,28.5,25.6,25.5,PAE,,,15.8,,,100,27.6,20.5,64 QAM(100MHz),,GaN HEMT
1058,2020,8,Shinjo,Advance GaN HEMT Modeling Techniques and Power Amplifiers for Millimeter-Wave Applications,GaN,,28.5,36.5,26,PAE,,,,64 QAM 100MHz,,,27.6,20.9,pre 5G,,GaN HEMT
1059,2012,6,Campbell,High efficiency Ka-band power amplifier MMICs fabricated with a 0.15µm GaN on SiC HEMT process,GaN,,29.0,37,30,PAE,,,25,,,,,,,,
1060,2013,10,Chéron,High-Efficiency Power Amplifier MMICs in 100 nm GaN Technology at Ka-Band frequencies,GaN,,29.0,36.7,28,PAE,,,14,,,,,,,,
1061,2013,10,Chéron,High-Efficiency Power Amplifier MMICs in 100 nm GaN Technology at Ka-Band frequencies,GaN,,29.0,33.8,33,PAE,,,14,,,,,,,,
1062,2013,10,Chéron,High-Efficiency Power Amplifier MMICs in 100 nm GaN Technology at Ka-Band frequencies,GaN,,29.0,31.5,41,PAE,,,14,,,,,,,,
1063,2014,7,Yu,A Millimeter Wave 11W GaN MMIC Power Amplifier,,,29.0,40.5,20,PAE,,,18.5,,,,,,,,150nm AlGaN/GaN HEMT
1064,2018,7,Potier,First results on Ka band MMIC power amplifiers based on InAlGaN HEMT technology,GaN,,29.0,40,25,PAE,,,24,,,,,,,,GaN
1065,2020,8,Yoon,Highly Linear & Efficient Power Spatium Combiner Amplifier with GaN HPA MMIC at Millimeter Wavelength Frequency,GaN,27-31,29.0,52,23,PAE,,,24,OQPSK,,1MHz,49,,,,GaN
1066,2022,6,Chen,Harmonic Suppression of a Three-Stage 25–31-GHz GaN MMIC Power Amplifier Using Elliptic Low-Pass Filtering Matching Network,GaN,25-31 GHz,29.0,34,31.5,PAE,30,16,20,100-MHz five-carrier LTE,,,28,,ACLR = -30,,0.15um GaN HEMT
1067,2022,4,Ishikawa,A 28-GHz-Band GaN HEMT MMIC Doherty Power Amplifier Designed by Load Resistance Division Adjustment,GaN,28-30 GHz,29.1,30,44,PAE,22,25,7.8,256 QAM,,,21,,ACLR = -28.5,,0.15um GaN HEMT
1068,2013,10,Campbell,High efficiency Ka-band Gallium Nitride power amplifier MMICs,GaN,,29.5,37.8,34,PAE,,,28,,,,,,,,
1069,2003,6,Raay,Large Signal Modeling of AlGaN/GaN HEMTs with Psat > 4 W/mm at 30 GHz suitable for Broadband Power Applications,GaN,,30.0,32,,,,,,,,,,,,,
1070,2013,10,Campbell,High efficiency Ka-band Gallium Nitride power amplifier MMICs,GaN,,30.0,40.4,30,PAE,,,28,,,,,,,,
1071,2014,10,Kong, Miniaturization of Ka-Band High Power Amplifier by 0.15 µm GaN MMIC Technology,GaN,,30.0,37.8,,,,,24,,,,,,,,GaN
1072,2014,10,Ng,A 20-Watt Ka-Band GaN High Power Amplifier MMIC,GaN,,30.0,21.4,16,PAE,,,10,,,,,,,,
1073,2014,10,Kong,Miniaturization of Ka-band High Power Amplifier by 0.15 μm GaN MMIC Technology,GaN,,30.0,34.5,,,,,24,,,,,,,,
1074,2015,9,Chéron,High-gain Over 30% PAE Power Amplifier MMICs in 100 nm GaN Technology at Ka-Band Frequencies,GaN,,30.0,39.1,30,PAE,,,18,,,,,,,,
1075,2015,9,Chéron,High-gain Over 30% PAE Power Amplifier MMICs in 100 nm GaN Technology at Ka-Band Frequencies,GaN,,30.0,36.5,33,PAE,,,24,,,,,,,,
1076,2015,5,Din,High Power and High Efficiency Ka Band Power Amplifier,GaN,,30.0,45.5,35,PAE,,,,,,,,,,,
1077,2018,11,Neininger,Investigation of High-Efficiency Hybrid Power Combining for Ka-Band Frequencies,GaN,,30.0,35.44,18,PAE,,,,,,,,,,,
1078,2019,9,Han,A 18-40GHz 10W GaN Power Amplifier MMIC Utilizing Combination of the Distributed and Reactive Matching Topology,GaN,18-40,30.0,42.5,42,PAE,,,22,,,,,,,,
1079,2020,11,Yamaguchi,A Wideband and High Efficiency Ka-band GaN Doherty Power Amplifier for 5G Communications,GaN,26-30,30.0,35,27,PAE,,,10,,,,,,,,GaN HEMT
1080,2022,6,Neininger,Broadband 100-W Ka-Band SSPA Based on GaN Power Amplifiers,GaN,28-38 GHz,30.0,50.8,22,PAE,,,38,,,,,,,,100nm GaN-on-SiC
1081,2018,9,Giacomo-Brunel ,Industrial 0.15-μm AlGaN/GaN on SiC Technology for Applications up to Ka Band,GaN,,30.5,40.5,34.5,PAE,,,25,,,,,,,,0.15μm AlGaN/GaN on SiC 
1082,2011,6,Takagi,GaN HEMTs with pre-match for Ka-Band with 18W,GaN,,31.0,42.7,21.9,PAE,,,7.1,,,,,,,,
1083,2015,10,Takagi,GaN MMIC for Ka-Band with 18W,GaN,,31.0,41.9,17.4,PAE,,,10.1,,,,,,,,
1084,2015,10,Takagi,GaN MMIC for Ka-Band with 18W,GaN,,31.0,42.6,17.4,PAE,,,10.7,,,,,,,,
1085,2016,10,Leblanc,6W Ka band power amplifier and 1.2dB NF X-band amplifier using a 100nm GaN/Si process,GaN,,31.0,37.5,32,PAE,,,24,,,,,,,,
1086,2017,10,Gasmi,10W Power amplifier and 3W Transmit/Receive module with 3 dB NF in Ka band using a 100nm GaN/Si process,GaN,,31.0,37.5,35,PAE,,,25,,,,,,,,
1087,2019,9,Potier,10W Ka Band MMIC Power Amplifiers based on InAlGaN/GaN HEMT Technology,GaN,25-31,31.0,40,45,PAE,39,39,16.5,,,,,,,,0.15 μm GaN
1088,2019,10,Potier,10W Ka Band MMIC Power Amplifiers based on InAlGaN/GaN HEMT Technology,GaN,31  GHz,31.0,40,45,PAE,38.6,42,19.7,,,,,,,,0.15um GaN
1089,2020,8,Shinjo,Advance GaN HEMT Modeling Techniques and Power Amplifiers for Millimeter-Wave Applications,GaN,,31.0,41.9,16.1,PAE,,,13,10MHz OQPSK,,,40.5,,,,GaN HEMT
1090,2020,8,Shinjo,Advance GaN HEMT Modeling Techniques and Power Amplifiers for Millimeter-Wave Applications,GaN,,31.0,41.9,16.1,PAE,,,,10MHz 8PSK,,,40.5,,,,GaN HEMT
1091,2020,8,Yoon,Highly Linear & Efficient Power Spatium Combiner Amplifier with GaN HPA MMIC at Millimeter Wavelength Frequency,GaN,27-31,31.0,51.7,21,PAE,,,24,OQPSK,,1MHz,49,,,,GaN
1092,2011,6,Qiu,Linearity Characteristics Study of Millimeter-Wave GaN Power Amplifier,GaN,,31.5,31.7,25,PAE,30.8,,7.5,,,,,,,,
1093,2018,11,Neininger,Investigation of High-Efficiency Hybrid Power Combining for Ka-Band Frequencies,GaN,,32.0,35.68,18,PAE,,,,,,,,,,,
1094,2019,6,Neininger,"Design, Analysis, and Evaluation of a Broadband High-Power Amplifier for Ka-Band Frequencies",100nm GaN,26-35,32.0,39.63,25,PAE,37.63,,,20,,,,,,,
1095,2012,6,Darwish,Improved Linearity of Power Amplifier GaN MMIC For Ka-Band SATCOM,GaN,,32.5,37.8,,,,,15,,,,,,,,
1096,2012,6,Darwish,Novel 4-way combiner for Ka-band AlGaN/GaN power MMIC,GaN,,32.5,37.8,,,,,15,,,,,,,,
1097,2019,6,Estella,"High-Efficiency, Ka-band GaN Power Amplifiers",NGAS GaN20,,32.5,45,30,PAE,44.5,30,25.1,,,,,,,,
1098,2004,6,Micovic,Ka-band MMIC Power Amplifier in GaN HFET Technology,GaN,,33.0,32.6,14,PAE,,,8.1,,,,,,,,
1099,2004,6,Micovic,Ka-band MMIC Power Amplifier in GaN HFET Technology,GaN,,33.0,31.5,16,PAE,,,8.1,,,,,,,,
1100,2004,6,Micovic,Ka-band MMIC Power Amplifier in GaN HFET Technology,GaN,,33.0,33.4,18.6,PAE,,,,,,,,,,,
1101,2004,6,Micovic,Ka-band MMIC Power Amplifier in GaN HFET Technology,GaN,,33.0,34.5,27,PAE,,,7.1,,,,,,,,
1102,2004,6,Micovic,Ka-band MMIC Power Amplifier in GaN HFET Technology,GaN,,33.0,30.8,36.2,PAE,,,,,,,,,,,
1103,2021,5,Neininger,"Limitations and Implementation Strategies of Interstage Matching in a 6-W, 28–38-GHz GaN Power Amplifier MMIC",GaN,28-38,33.0,37.92,25,PAE,,,20,,,,,,,,GaN HEMT
1104,2022,4,Costanzo,A Derating-Rules Compliant Ka-Band GaN-on-Si Power Amplifier Designed for Highly Reliable Satellite Applications,GaN,31-35 GHz,33.0,35,20,PAE,31,14,26,,,,,,,,100nm GaN/Si
1105,2018,3,Feuerschutz,Two Q-Band Power Amplifier MMICs in 100 nm AlGaN/GaN HEMT Technology,GaN,,34.0,28.8,15,PAE,26.6,9.3,16,,,,,,,,
1106,2018,11,Neininger,Investigation of High-Efficiency Hybrid Power Combining for Ka-Band Frequencies,GaN,,34.0,36.02,21,PAE,,,,,,,,,,,
1107,2021,1,Ramella,Ka-band 4 W GaN/Si MMIC power amplifier for CW radar applications,GaN,34-38,34.0,36,29.5,PAE,,,25,,,,,,,,GaN HEMT
1108,2021,1,Tao,High-Power Ka/Ku Dual-Wideband GaN Power Amplifier With High Input Isolation and Transformer-Combined Load Design,GaN,33 - 37 GHz,34.0,31.5,23,PAE,,,21,,,,,,,Analog,0.15um GaN
1109,2021,12,Litchfield,"10W and 30W, 32-37 GHz, Ka-Band GaN MMIC Power Amplifiers on SiC",GaN,32-37 GHz,34.0,45,22,PAE,40.5,15,26,,,,,,,,0.18um GaN
1110,2003,12,Wu,3.5-Watt AlGaN/GaN HEMTs and Amplifiers at 35 GHz,GaN,,35.0,35.4,22,PAE,,,8,,,,,,,,
1111,2003,12,Wu,3.5-Watt AlGaN/GaN HEMTs and Amplifiers at 35 GHz,GaN,,35.0,35.6,26,PAE,,,7.5,,,,,,,,
1112,2006,12,Darwish,AlGaN/GaN Ka-Band 5-W MMIC Amplifier,GaN,,35.0,36,23,PAE,,,13,,,,,,,,
1113,2006,6,Darwish,4-Watt Ka-Band AlGaN/GaN Power Amplifier MMIC,GaN,,35.0,36,23.8,PAE,,,13,,,,,,,,180nm AlGaN/GaN HIEMT
1114,2016,10,Blount,"A High Efficiency, Ka-Band Pulsed Gallium Nitride Power Amplifier for Radar Applications",GaN,,35.0,38,31,PAE,,,25,,,,,,,,
1115,2016,10,Blount,"A High Efficiency, Ka-Band Pulsed Gallium Nitride Power Amplifier for Radar Applications",GaN,,35.0,37.7,41,PAE,,,25,,,,,,,,
1116,2019,1,Vanaverbeke,Evidence for the Self-Enhanced Class J PA Operating Mode From Harmonic Load-Pull Measurements,GaN,35-40,35.0,36,25,?,34,20,19,,,,,,,,0.1um GaN
1117,2017,5,Yu,A Ka band 15W power amplifier MMIC based on GaN HEMT technology,150nm GaN,,35.4,42.5,30.5,PAE,,,27,,,,,,,,150nm GaN HEMT
1118,2016,10,Chen,High Efficiency 5W/10W 32 - 38GHz Power Amplifier MMICs Utilizing Advanced 0.15μm GaN HEMT Technology,GaN,,36.0,40.5,35,PAE,,,25,,,,,,,,
1119,2018,11,Neininger,Investigation of High-Efficiency Hybrid Power Combining for Ka-Band Frequencies,GaN,,36.0,35.44,21,PAE,,,,,,,,,,,
1120,2018,1,Welker,Incorporating RF test measurements for efficient design flow of GaN-based power amplifiers,GaN,,36.0,42.9,28.3,PAE,,,27.4,,,,,,,,150nm GaN-on-SiC
1121,2021,1,Ramella,Ka-band 4 W GaN/Si MMIC power amplifier for CW radar applications,GaN,34-38,36.0,36.5,30,PAE,,,26,,,,,,,,GaN HEMT
1122,2021,1,Tao,High-Power Ka/Ku Dual-Wideband GaN Power Amplifier With High Input Isolation and Transformer-Combined Load Design,GaN,33 - 37 GHz,36.0,32,27,PAE,,,19,,,,,,,Analog,0.15um GaN
1123,2018,7,Costanzo,A Q-Band MMIC Power Amplifier in GaN on SI Technology for Space Applications,GaN,,37.5,33,30,PAE,,,25,,,,,,,,GaN
1124,2016,10,Feuerschutz,A Q-Band Power Amplifier MMIC Using 100 nm AlGaN/GaN HEMT,GaN,,38.0,24.3,22,PAE,,,9,,,,,,,,
1125,2016,10,Chen,High Efficiency 5W/10W 32 - 38GHz Power Amplifier MMICs Utilizing Advanced 0.15μm GaN HEMT Technology,GaN,,38.0,37.1,34,PAE,,,17.5,,,,,,,,
1126,2018,6,Moron,"12W, 30% PAE, 40GHz power amplifier MMIC using a commercially available GaN/Si process",GaN,,38.0,41.3,33,PAE,,,21.5,,,,,,,,
1127,2018,6,Moron,"12W, 30% PAE, 40 GHz power amplifier MMIC using a commercially available GaN/Si process",GaN,,38.0,41.3,33,PAE,,,22,,,,,,,,100nm
1128,2018,7,Potier,First results on Ka band MMIC power amplifiers based on InAlGaN HEMT technology,GaN,,38.0,38,15,PAE,,,15,,,,,,,,GaN
1129,2021,5,Neininger,"Limitations and Implementation Strategies of Interstage Matching in a 6-W, 28–38-GHz GaN Power Amplifier MMIC",GaN,28-38,38.0,37.78,25,PAE,,,20,,,,,,,,GaN HEMT
1130,2021,1,Ramella,Ka-band 4 W GaN/Si MMIC power amplifier for CW radar applications,GaN,34-38,38.0,36,29,PAE,,,25,,,,,,,,GaN HEMT
1131,2021,6,Mayeda,A Highly Efficient 18 - 40 GHz Linear Power Amplifier in 40 nm GaN for mm-Wave 5G,GaN,18-40,38.0,19.7,11.6,PAE,13.7,,12,256 QAM 5G NR (9x100MHz 24GHz),,,12.4,10.5,258 QAM 5G NR,,GaN HEMT
1132,2021,8,Mayeda,A Highly Efficient 18 -40 GHz Linear Power Amplifier in 40 nm GaN for mm-Wave 5G,GaN,18 - 20 GHz,38.0,17.2,26,PAE,13.4,,7.9,9x100MHz 256QAM 5G NR,,,10.9,12.6,ACLR = -27.9,Analog,40nm GaN
1133,2021,8,Mayeda,A Highly Efficient 18 -40 GHz Linear Power Amplifier in 40 nm GaN for mm-Wave 5G,GaN,18 - 20 GHz,38.0,19.1,22.7,PAE,12.8,,10.2,9x100MHz 256QAM 5G NR,,,12.4,10.5,ACLR = -28,Analog,40nm GaN
1134,2022,4,Hu,A 1–42 GHz GaN Distributed Amplifier With Adjustable Gain by Voltage-Controlled Switch,GaN,1 - 50.0,38.0,30,9,PAE,,,9,,,,,,,,130nm GaN HEMT
1135,2021,8,Mayeda,A Highly Efficient 18–40 GHz Linear Power Amplifier in 40-nm GaN for mm-Wave 5G,GaN,19 -40.3,38.0,19.1,22.7,PAE,12.8,,10.2,256 QAM,-28,900,12.4,10.5,,,40nm GaN
1136,2017,10,Kim,39GHz GaN Front End MMIC for 5G Applications,GaN,,39.0,33.5,18,PAE,,,20,,-17.07743928643524,0.2,30,14.4,OFDM PAPR=9.6dB,,
1137,2017,10,Kim,39GHz GaN Front End MMIC for 5G Applications,GaN,,39.0,33.5,18,PAE,,,20,,-18.416375079047505,0.2,28.5,12.4,OFDM PAPR=9.6dB,,
1138,2017,10,Kim,39GHz GaN Front End MMIC for 5G Applications,GaN,,39.0,33.5,18,PAE,,,20,,-20,0.2,27.4,10.7,OFDM PAPR=9.6dB,,
1139,2017,10,Kim,39GHz GaN Front End MMIC for 5G Applications,GaN,,39.0,33.5,18,PAE,,,20,,-21.93820026016113,0.2,26.5,9.3,OFDM PAPR=9.6dB,,
1140,2017,10,Kim,39GHz GaN Front End MMIC for 5G Applications,GaN,,39.0,33.5,18,PAE,,,20,,-24.436974992327126,0.2,25.6,8,OFDM PAPR=9.6dB,,
1141,2017,10,Kim,39GHz GaN Front End MMIC for 5G Applications,GaN,,39.0,33.5,18,PAE,,,20,,-27.95880017344075,0.2,24.5,6.5,OFDM PAPR=9.6dB,,
1142,2018,3,Feuerschutz,Two Q-Band Power Amplifier MMICs in 100 nm AlGaN/GaN HEMT Technology,GaN,,39.0,33.2,14.7,PAE,,,14,,,,,,,,
1143,2020,4,Tran,A 39 GHz Power Amplifier in 0.15 µm GaN,GaN,38-40,39.0,31,21,PAE,25,12,17,,,,,,,,0.15um GaN
1144,2020,8,Giofre,A 20 W GaN-on-Si Solid State Power Amplifier for Q-band Space Communication Systems,GaN,37.5-42.5,39.5,43.3,15.9,PAE,,,65,,,,,,,,GaN
1145,2022,6,Yu,5G mmWave Power Amplifier and Low-Noise Amplifier in 300mm GaN-on-Si Technology,GaN,37-40 GHz,39.5,25,38.8,PAE,19.8,22,24.8,256 QAM (100MHz),,,15,,256 QAM (100MHz),,300nm GaN-on-Si
1146,2018,3,Feuerschutz,Two Q-Band Power Amplifier MMICs in 100 nm AlGaN/GaN HEMT Technology,GaN,,40.0,30.2,15,PAE,28.1,12.9,10,,,,,,,,
1147,2018,6,Moron,"12W, 30% PAE, 40GHz power amplifier MMIC using a commercially available GaN/Si process",GaN,,40.0,41.3,32,PAE,,,22,,,,,,,,
1148,2018,6,Moron,"12W, 30% PAE, 40 GHz power amplifier MMIC using a commercially available GaN/Si process",GaN,,40.0,41.3,30,PAE,,,22,,,,,,,,100nm
1149,2020,8,Longhi,C to V-band Cascode Distributed Amplifier Design Leveraging a Double Gate Length Gallium Nitride on Silicon Process,GaN,6.0-52.0,40.0,28,20,PAE,,,10,,,,,,,,GaN
1150,2021,1,Giofre,20W Linearized Q-band Solid State Power Amplifier for Satellite Communication Application,GaN,37.5-42.5,40.0,33,23.9,PAE,,,19,,,,,,,,GaN HEMT
1151,2020,8,Giofre,A 20 W GaN-on-Si Solid State Power Amplifier for Q-band Space Communication Systems,GaN,37.5-42.5,42.5,43.5,16,PAE,,,65.3,,,,,,,,GaN
1152,2021,6,Ćwikliński ,A 28–90-GHz GaN Power Amplifier MMIC Using an Integrated fT -Doubler Topology,GaN,28-90,55.0,16.8,1.8,PAE,,,12.5,,,,,,,,100nm GaN HEMT
1153,2017,12,Micovic,GaN DHFETs Having 48% Power Added Efficiency and 57% Drain Efficiency at V-Band,GaN,,57.0,25,34,PAE,,,8,,,,,,,,40nm GaN DHFET
1154,2021,5,Guo,A 4W V-band MMIC Power Amplifier with 24% Power-Added Efficiency,GaN,57-61,57.0,36.8,24.5,PAE,,,18,,,,,,,,0.1um GaN HEMT
1155,2021,5,Guo,A 4W V-band MMIC Power Amplifier with 24% Power-Added Efficiency,GaN,57-61,58.0,37,24.1,PAE,,,18,,,,,,,,0.1um GaN HEMT
1156,2017,12,Micovic,GaN DHFETs Having 48% Power Added Efficiency and 57% Drain Efficiency at V-Band,GaN,,59.0,25.5,41,PAE,,,8,,,,,,,,40nm GaN DHFET
1157,2021,5,Guo,A 4W V-band MMIC Power Amplifier with 24% Power-Added Efficiency,GaN,57-61,59.0,36.9,24.5,PAE,34.4,,18,,,,,,,,0.1um GaN HEMT
1158,2021,5,Guo,A 4W V-band MMIC Power Amplifier with 24% Power-Added Efficiency,GaN,57-61,60.0,36.9,24.1,PAE,,,18,,,,,,,,0.1um GaN HEMT
1159,2021,5,Guo,A 4W V-band MMIC Power Amplifier with 24% Power-Added Efficiency,GaN,57-61,61.0,36.8,24.4,PAE,,,18,,,,,,,,0.1um GaN HEMT
1160,2017,12,Micovic,GaN DHFETs Having 48% Power Added Efficiency and 57% Drain Efficiency at V-Band,GaN,,64.0,24,23.5,PAE,,,7,,,,,,,,40nm GaN DHFET
1161,2021,6,Ćwikliński ,A 28–90-GHz GaN Power Amplifier MMIC Using an Integrated fT -Doubler Topology,GaN,28-90,65.0,14.5,1,PAE,,,14,,,,,,,,100nm GaN HEMT
1162,2021,5,Pazhouhesh,A V-Band GaN Power Amplifier with 34.9% PAE and 35.1 dBm Output Power,GaN,65-71,65.0,35,34,PAE,34.9,33.6,12,,,,,,,,40nm GaN
1163,2021,5,Pazhouhesh,A V-Band GaN Power Amplifier with 34.9% PAE and 35.1 dBm Output Power,GaN,65-71,68.0,35.9,34.1,PAE,35.1,34,12.3,,,,,,,,
1164,2018,5,Schwantuschke,mm-Wave operation of AlN/GaN-devices and MMICs at V- & W-band,GaN,,71.0,31.4,9.9,PAE,,,25.8,,,,,,,,70 nm AlN/GaN-HEMT
1165,2021,5,Pazhouhesh,A V-Band GaN Power Amplifier with 34.9% PAE and 35.1 dBm Output Power,GaN,65-71,71.0,35,32,PAE,34.3,30,11.3,,,,,,,,
1166,2015,10,Ture,High-gain AlGaN/GaN HEMT Single Chip E-Band Power Amplifier MMIC with 30 dBm Output Power,GaN,,73.0,30.8,11,PAE,,,18,,,,,,,,
1167,2012,11,Brown,"High Power, High Efficiency E-Band GaN Amplifier MMICs",GaN,,74.0,4.9,14.2,PAE,,,9.5,,,,,,,,
